prompt,answer
What are 'major' cardiac risk factors for surgery?,"Unstable coronary syndrome
Class IV HF (decompensated)
Significant arrhythmia
Severe valvular disease"
What are 'intermediate' cardiac risk factors for surgery?,"Mild angina
Previous MI
Compensated HF
IDDM
CRT>2"
What are 'minor' cardiac risk factors for surgery?,"Advanced age
Abnormal EKG
Rhythm other than NS (AFib)
<4 METS
Hx of stroke
*Uncontrolled HTN*"
What non-cardiac surgeries are considered high risk?,"Major vascular, emergent major operations, prolonged procedures with large fluid shifts or high EBL"
What non-cardiac surgeries are considered intermediate risk?,"Carotid endarterecomy
Endovascular aortic aneurysm
head and neck surgery 
Intraperitoneal & Intrathoracic
Orthopedic surgery 
Prostate surgery"
What non-cardiac surgeries are considered low-risk?,"Superficial procedures
Cataract surgery 
breast surgery 
ambulatory surgery"
How do class I anti-arrhythmics work? What are some examples?,"Block sodium channels, depressing depolarization in the heart 
1A: Procainamide, Quinidine
1B: Lidocaine, phenytoin, tocainide
1C: Flecainide, Propafenone"
How do class II anti-arrhythmics work? What are some examples?,"Beta blockers!
Esmolol, Propronolol, Metoprolol, Carvedilol,"
How do class III anti-arrhythmics work? What are some examples?,"Block K+ channels, delaying repolarization and prolonging action potential
Amiodarone, Sotalol"
How does class IV anti-arrhythmics work? What are some examples?,"CCBs, dominant in AV node
Verapamil, diltiazem"
How does class V anti-arrhythmics work? What are some examples?,"Miscellaneous/other
Adenosine, ATP, Digoxin, Atropine"
What is the path of electricity through the heart?,SA - AV - Purkinje Fibers
What class of anti-arrhythmics should be used for atrial vs. ventricular arrhtyhmias?,"Class IV (CCB): atrial 
Class I or III (Na channel): ventricular"
What is the most common arrhythmia? This increases a patient's risk of what?,"Afib
Clotting/stroke"
The first goal of treatment for Afib is _______? What classes of drugs should be considered to accomplish this goal?,"Rate control!
Calcium channel blockers first, then beta blockers"
_____ are preferred for rate control in patients with COPD or asthma; where as ______ are preferred in patients with CAD or systolic dysfunction,"CCB
B-Blockers"
What is the most effective way to URGENTLY convert someone from Afib to NSR?,Cardioversion
Adenosine works on what kind of receptors? To do what?,"Puranergic 
Interrupts conduction of the SA/AV node causing arrest"
Purinergic receptors are found where and are sensitive to what?,"GI, vascular endotherlium
Adenosine (1) or ATP (2)"
What does stimulation of purinergic receptors produce?,"Slowing of SA and AV node conduction
Bronchoconstriction
Dilation of cerebral/coronary vessels
Modulation of NT release"
"Drug of choise for brady-arrhythmias (drug, class and dose)","Atropine
Anticholinergic 
0.5mg"
"Drug of choice for tachyarrhythmia (drug, class, dose)","Esmolol
Beta blocker (Class III)
5-10mg"
"Drug of choice for atrial arrhythmia (drug, class, dose)","CCB (1st)
B-blocker (2nd)
Verapamil 0.005mg/kg
Diltiazem 5-15mg/hr
Metoprolol 2.5-5mg (15 max)"
"Drug of choice for ventricular arrhythmia (drug, class, dose)","Class III (1st)
Class I (2nd)
Amiodarone 150mg over 10 minutes
Lidocaine 1mg/kg over 2 minutes"
Drug of choice for SVT?,"Adenosine 6, 12, 12 mg doses (rapid!)"
Drug of choice for Torsades?,Magnesium sulfate 1-2g over 5-60min
Adenosine: Dose and side effects,"6-12-12mg
Heart block, flushing, chest pain"
Atropine: Dose and side effects,"0.4-1mg
Tachycardia, MI"
Diltiazem: Dose and side effects,"10-20mg Bolus, 5-15mg/hr
Hypotension, CHF"
Esmolol: Dose and side effects,"0.5mg/kg bolus
0.05mg/kg/hr
Bronchospasm, hypotension, exacerbation of CHF"
Metoprolol: Dose and side effects,"5mgIV q5x 3
Bronchospasm, hypotension, exacerbation of CHF"
Ibutilide: Dose and side effects,"1mg over 10min (x2)
QT prolongation, Torsades"
Amiodarone: dose and side effects,"150mg over 10 min
1mg/min x 6 hours, 0.5mg/min after
Mild hypotension (bolus), heart block, bradycardia, nausea"
'Normal' BP,<120/<80
'Elevated' BP,120-129/ <80
Stage I HTN,"130-139/ 80-89
Medicate if patient has had cardiac events or is at high risk
Consider thiazide diuretic, aceI, arb, BB, CCB"
Stage 2 HTN,">140 (over 60 or with CKD/DM)
>150(under 60)/>90
Use 2 drug combination therapy - diuretic + additional"
Hypertensive urgency,">180/>120
NO associated organ damage, reduce BP over hours to days"
Hypertensive emergency,">180/>120 with end organ damage
reduce BP in minutes to hours"
"What is the recommended BMI?
How much does weight loss reduce your BP?","18.5-24.9
5-20mm Hg per 10kg loss"
What is the DASH diet? How much does it reduce your BP?,"Rich in fruits and vegetables, low-fat dairy, with reduced saturated and total fat
8-14mmHg"
What is the recommended sodium restriction for HTN?,"<100mmol/ day
2.4g Na or 6g NaCl
2-8mmHg per week"
What are the recommendations for physical activity and how much can they drop your BP?,"30min 5 days/week
4-9mmhg"
What are the recommendations for alcohol and how much can they drop your BP?,"<2 drinks per day (men)
<1 drink per day (women)
2-4mmhg"
What types of antihypertensives are contraindicated in pregnancy?,ACE-inhibitors and ARBS
How does the RAAS work?,"Renin (kidneys) converts angiotensinogen to angiotensin 1
ACE (lungs) converts angtiotensin 1 to angiotensin 2
Adrenal cortex releases aldosterone, stimulating Na reabsorption"
What is Aliskiren?,Direct renin antagonist
What are ACE inhibitors and what is a common side effect? Why?,"Inhibit conversion of A1 to A2
Coughing is common because ACE also breaks down bradykinin - accumulation of bradykinin= cough"
How do ARBS work?,Classic antgiotensin and aldosterone antagonist
Which type of antihypertensive should be help prior to surgery and why?,ACE inhibitors can causes refractory hypotension that must be treated with vasopressin
How do diuretics treat HTN?,"Mechanism unknown, thought to be via K channel vasodilation."
'-pril' is what class of drug,ACE inhibitors
'-sartan' is what class of drug,ARBs
By what three mechanisms do beta blockers treat hypertension?,"Block B1 in heart 
Block renin in kidneys
CNS depression"
Labetalol vs. Esmolol,"L: Tachycardia
E: HTN
L: Beta blocker, alpha blocker
E: Beta blocker only
L: longer acting, easily titratable
E: Shorter acting, rapid metabolism in plasma by nonspecific esterase"
What kind of receptors does angiotension II act on?,Angiotensin I
Hydralazine works primarily by _____?,Arterial vasodilation
Nitroglycerine works primarily by ______?,Venous dilation
How does Nipride work? What is a possible side effect?,"Arterial and venous dilation via nitric oxide release 
Cyanide toxicity"
How is Nipride metabolized in the body?,"In the plasma, by Hgb"
How does the cyanide from nipride get metabolized?,"Some attaches to Hgb
Some enters blood, attaches to thiosulfate (B12) via the *rhodase enzyme* to form *thiocyanate* which is excreted in the kidneys"
What happens where there are excessive cyanide ions present? What do patients look like when this happens,"Acidotic hypoxia with high venous oxygen!
We run out of b12, so cyanide binds to cytochrome oxidase, which inhibits the USE of oxygen in cells. 
Patients turn PINK because O2 is taken to tissues, not utilized, and then dumped into venous blood"
Dosing for Nipride,"0.3-0.5mcg/kg/min
Max 10 for 10 minutes"
"Signs of cyanide toxicity (CNS, Cardiac, labs)","CNS: Mental status change, seizure, coma
Cardiac: tachyphylaxis, HTN, ST Segment changes"
Treatment of cyanide poisoning,"Stop infusion
100% FiO2
Mechanical ventilation PRN
Bicarb for acidosis
3% Na Nitrate (4-6mg/kg slowly)
Na thiosulfate 150-200mg/kg over 15min
Vitamin B12 25mg/hr
Monitor thiocyanate levels"
"3 effects of beta blockers (B1, and 2 for B2)","Blocking B1: vasoconstriction, bradycardia, reduced renin release
Blocking B2: Bronchoconstriction and hypoglycemia"
3 types of patients who should NOT receive beta blockers,"Asthmatics
Diabetics 
Claudication"
Rule of thumb for beta blockers pre-op,"Continue them, but do not start day of surgery"
What are ISA beta blockers and for which patients may these be considered?,"They are beta partial-agonists - have weaker side effects
asthmatics"
"Labetalol and Carveilol are beta blockers with _______, which promotes","alpha blockade, vasodilation"
"Which beta blocker is 'cardioselective' (not really though), and therefore what kind of patients require caution when administering this drug","Esmolol, asthmatics"
Which HTN drug causes primarily arterial vasodilation? Venous?,"Arterial: hydralazine
Venous: NTG"
Which HTN drug causes arterial AND venous vasodilation via nitric oxide?,Nipride
"Nicardipine, a CCB, is contraindicated in patients with _____?",Liver failure
How does clonidine work and what are some side effects?,"Alpha 2 pre-synaptic agonist
CNS side effects and WITHDRAWAL"
Labetalol Dose,5-10mg
"Treat tachycardic HTN with ______, and bradycardic hypotension with ________","Brady: hydral
Tachy: labetolol"
What kind of drug is phentolamine and what are the potential side effects?,"Pure alpha antagonist, so a vasodilator
Tachyarrhythmias, angina, postural hypotension, insulin hypersensitivity"
What causes angina? How is it treated (generally),"An imbalance between oxygen supply to the heart and demand. 
Demand is easier to treat but can also treat supply!"
What type of patients can present with atypical angina symptoms?,Women and the elderly
What is the difference between stable and unstable angina?,"Stable = <15 minutes and symptoms reside
Unstable= >15 minutes and does NOT decrease with rest or NTG"
"Under anesthesia, angina symptoms are hidden. What is the strongest indicator of perioperative iscehmia and causes the most cardiac demand?",Tachycardia
