"prompt","answer"
"High vs. Intermediate vs. Low Pressure System: Begins at the cylinder and ends at the cylinder regulator","High"
"!High vs. Intermediate vs. Low Pressure System: Begins at the pipeline and ends at the flowmeter valves","Intermediate"
"High vs. Intermediate vs. Low Pressure System: Begins at the flowmeter tubes and ends at the common gas outlet","Low"
"High vs. Intermediate vs. Low Pressure System: Runs at cylinder pressure","High"
"High vs. Intermediate vs. Low Pressure System: Runs at 50psi while attached to the pipeline, and 45psi when attached to tank","Intermediate"
"High vs. Intermediate vs. Low Pressure System: Runs at pressures slightly above atmospheric","Low"
"High vs. Intermediate vs. Low Pressure System: Hanger Yokes","High"
"High vs. Intermediate vs. Low Pressure System: Yoke Block with Check Valves","High"
"High vs. Intermediate vs. Low Pressure System: Cylinder Pressure Gauge","High"
"High vs. Intermediate vs. Low Pressure System: Cylinder Pressure Regulator","High"
"High vs. Intermediate vs. Low Pressure System: Pipeline Inlets","Intermediate"
"High vs. Intermediate vs. Low Pressure System: Pressure Gauges","Intermediate"
"High vs. Intermediate vs. Low Pressure System: Oxygen Pressure Failure Device","Intermediate"
"High vs. Intermediate vs. Low Pressure System: Oxygen Second Stage Regulator","Intermediate"
"High vs. Intermediate vs. Low Pressure System: Oxygen Flush Valve","Intermediate"
"High vs. Intermediate vs. Low Pressure System: Ventilator Power Inlet","Intermediate"
"High vs. Intermediate vs. Low Pressure System: Flowmeter Valves","Intermediate"
"High vs. Intermediate vs. Low Pressure System: Flowmeter Tubes","Low"
"High vs. Intermediate vs. Low Pressure System: Vaporizers","Low"
"High vs. Intermediate vs. Low Pressure System: Check Valve","Low"
"High vs. Intermediate vs. Low Pressure System: Common Gas Outlet (CGO)","Low"
"T/F: The flowmeter valve and tube of the AGM make up the intermediate pressure system","False; The valve is in the intermediate system, whereas the tube is in the low system"
"The low pressure leak test is also known as the ______ pressure test.","Negative"
"The ________ pressure leak test assesses the integrity of the low pressure circuit from the flowmeter valve to the ______ ________ outlet.","Low; Common Gas"
"High vs. Low Pressure Leak Test: Performed by attaching a bulb to the CGO and creating negative pressure","Low"
"The low pressure system fails the test if the bulb _______ within 10 seconds.","Inflates"
"To accurately perform the low pressure leak test, FGF flow must be ________ .","Off"
"The _______ pressure leak test is the best way to detect a vaporizer leak.","Low"
"High vs. Low Pressure Leak Test: conducted by closing the APL valve pressurizing the circuit to 30 cmH2O and observing the airway pressure gauge.","High"
"In the high pressure test, when closing the APL valve the airway pressure gauge should remain _________ .","Constant"
"If a check valve is present in the AGM, it is usually _______ from the vaporizer and ________ from the oxygen flush valve.","Downstream; Upstream"
"The check valve of the AGM is ______ in the absence of back pressure and ______ when back pressure is applied (i.e. pushing oxygen flush).","Open; Closed"
"High vs. Low Pressure Leak Test: assesses the breathing circuit and the low pressure system up to the check valve","High"
"T/F: the high pressure leak test assesses for a leak between the check valve and the rest of the low pressure system","False; does NOT assess for leaks"
"_______ is defined by how the gases enter the AGM.","Supply"
"Describing the gas flow from the pipeline to the back fo the anesthesia machine often is referred to as the _________ .","Supply"
"________ is how the anesthesia machine prepares the gases before they are delivered to the patient.","Processing"
"_______ occurs inside the AGM up to the common gas outlet.","Processing"
"_________ describes how the prepared gases are brought to the patient, and often describes the breathing circuit.","Delivery"
"________ describes how the gases are removed from the OR and often describes the scavenging system.","Disposal"
"What are the tasks of oxygen (5)","1. Oxygen pressure failure alarm
2. Oxygen pressure failure device
3. Oxygen flowmeter
4. Oxygen flush valve
5. Ventilator gas drive"
"The _______ model describes the pathway of gas through the AGM.","SPDD"
"T/F: Filtering and exchanging air in the OR is not a function of the AGM.","True"
"The ________ prevents inadvertent misconnections of gas cylinders.","PISS"
"In the PISS, the pin configuration on each hanger _______ assembly is different for each gas.","Yoke"
"T/F: the PISS system makes inadvertent attachment of gas cylinders impossible.","False; Unlikely but still possibly"
"When entering into the intermediate system, the pressure of oxygen changes from ________ psi (cylinder) to _________ psi (circuit)","1900; 50"
"T/F: The presence of more than one washer between the hanger yoke assembly and the stem of the tank may allow the PISS to be bypassed","True"
"Name that Pin Configuration (PISS): Air","1,5"
"Name that Pin Configuration (PISS): Oxygen","2,5"
"Name that Pin Configuration (PISS): Nitrous Oxide","3,5"
"The _______ prevents wrong gas hose from being attached to the AGM.","DISS"
"Name that Medical Gas: 1900psi (2)","Air; Oxygen"
"Name that Medical Gas: 625L","Air"
"Name that Medical Gas: 660L","Oxygen"
"Name that Medical Gas: 745psi","Nitrous Oxide"
"Name that Medical Gas: 1590L","Nitrous Oxide"
"Name that Medical Gas: PISS 1,5","Air"
"Name that Medical Gas: PISS 2,5","Oxygen"
"Name that Medical Gas: PISS 3,5","Nitrous Oxide"
"While full, a nitrous oxide E cylinder weighs __________ lbs, where when empty weighs _________ lbs.","20.7; 14.1"
"Name that Medical Gas: US yellow","Air"
"Name that Medical Gas: US Green","Oxygen"
"Name that Medical Gas: US Blue","Nitrous Oxide"
"Name that Medical Gas: WHO Black and White","Air"
"Name that Medical Gas: WHO White","Oxygen"
"Name that Medical Gas: WHO Blue","Nitrous Oxide"
"T/F: as long as liquid remains in the nitrous oxide E cylinder, the partial pressure measured by the bourdon pressure gauge will read 745 psi.","True"
"The pressure of a nitrous oxide E cylinder will begin to decrease only after there is no liquid and ______ % gas remains. This occurs when approximately ______ L of N2O remains in the tank.","25; 400"
"The gas inside a full cylinder possesses a significant amount of _______ energy.","Potential"
"The cylinder _________ is the most delicate part of the cylinder.","Valve"
"Under normal circumstances, gas cylinders must be secured in the _______ position.","Upright"
"The _______ triad consists of an oxidizer, fluid and ignition.","Fire"
"To prevent cylinder explosion, gas cylinders should never be exposed to temperatures higher than ________ F or _______ C.","130; 57"
"A _________ plug melts at elevated temperature and is made from wood's metal.","Fusible"
"What wood's metal substances can make up a fusible plug? (4)","Bismuth
Lead
Tin 
Cadmium"
"A _____ disk ruptures under pressure and is an example of a safety relief device.","Frangible"
"Name that AGM Safety Agency: Sets standards fro AGM via ASTM F 1850","American Society for Testing and Materials"
"Name that AGM Safety Agency: sets standards for compressed gas cylinders","US Department of Transportation (USDOT)"
"Name that AGM Safety Agency: created AGM pre-use checkout procedures","FDA"
"Name that AGM Safety Agency: sets standards for acceptable occupational exposure to volatile anesthetics","Occupational Safety and Health Administration (OSHA)"
"________ is the only gas that passes directly from its source to its flow valve at the flowmeter.","Oxygen"
"With the exception of oxygen, all other gases must first encounter a _______ valve before it enters its flowmeter.","Fail-Safe"
"The _______ _______ monitors oxygen concentration in the low pressure system and alarms when FiO2 falls below ________ %.","Oxygen Analyzer; 21"
"T/F: The oxygen pressure failure device monitors oxygen concentration and activates when FiO2 falls below 21%","False; Oxygen PRESSURE"
"The oxygen pressure failure device activates when the ________ pressure system falls below _______ psi.","Intermediate; 20"
"fThe oxygen pressure failure alarm contains a pneumatic device that stops the flow of _______ when the pressure of oxygen pipeline falls below 20psi.","Nitrous Oxide"
