"prompt","answer"
"A _________ ion channel prevents ions from flowing across a concentration gradient","Closed"
"An _______ ion channel allows ions to flow along a concentration gradient","Open"
"Signal ________ is the process by which a cell converts an extracellular signal into an intracellular space","Transduction"
"What are the 4 categories of Signal Transduction?","1. Ion Channels
2. G-Protein Coupled Receptors
3. Enzyme-Linked Receptors
4. Intracellular Receptors"
"To be able to respond to its environment, a cell must be capable of receiving and processing extracellular ________ .","Singals"
"Extracellular signals can take the form of chemical, _______ or mechanical.","Electrical"
"Most receptors are embedded in the cell _________ .","Membrane"
"A voltage-gated sodium channel is an example of an _________ receptor","Membane-Bound"
"Insulin and Tyrosine Kinase is an example of a _______ receptor","Enzyme-Linked"
"NE adrenergic receptors are examples of __________ receptors.","G-Protein Coupled"
"GPCR work by either opening or closing an ______ channel, or activating or inhibiting an _________ inside the cell.","Ion; Enzyme"
"A signal diffuses through the cell membrane and binds to a __________ receptor located inside the cell.","Intracellular"
"Steroids and thyroid hormones are examples of ________ receptors.","Intracellular"
"________ messengers are EXTRAcellular chemicals that stimulate a receptor","First"
"_________ is the first messenger for the NMDA receptor","Glutamate"
"_________ messengers are INTRAcellular chemicals that instruct the cell to do something","Second"
"Calcium and cAMP are examples of ________ messengers.","Second"
"The G-protein itself resides _________ of the cell membrane and consists of alpha, beta and gamma sub-units.","Inside"
"The function of the _______ is to activate the second messenger","Effector"
"Adenylate Cyclase and Phospholipase C are examples of enzymatic _________ .","Effectors"
"At the A1 receptor, an increase in phospholipase C causes an ________ in iP3, DAG and Calcium.","Increase"
"At the A2 receptor, a decrease in Adenylate Cyclase causes a decrease in ________ .","cAMP"
"At both the B1-B2 receptor, an increase in adenylate cyclase cases an increase in __________ .","cAMP"
"Nicotinic receptors are strictly _________ .","Ionic (NOT G-coupled)"
"T/F: at Muscarinic 2,4 receptors, an increase in phospholipase C causes an increase in iP3, DAG and calcium","False; That is true for M1,3,5 (At M2,4, a decrease in adenylate cyclase causes a decrease in cAMP)"
"What is the effector for Dopamine 1 and 2 receptors?","Adenylate Cyclase"
"What is the second messenger for Dopamine 1 and 2 receptors?","cAMP"
"Dopamine ______ increases cAMP when activated, whereas Dopamine ________ decreases cAMP when activated","1; 2"
"T/F: Phospholipase C is the effector for Vasopressin 1 receptors","True"
"At Vasopressin _______ receptors, an increase in phospholipase C causes an increase in iP3, DAG and calcium.","1"
"At Vasopressin _______ receptors, an increase in Adenylate Cyclase causes an increase in cAMP.","2"
"Vasopressin 1 receptors are found in the __________ , whereas Vasopressin 2 receptors are found in the _________ .","Vasculature; Renal Tubules"
"T/F: Vasopressin and Histamine 1 have the same effectors and second messengers","True"
