prompt,answer
Anatomy is the branch of knowledge concerned with _____________ .,structure or morphology
2 methods of study of the human body,"Regional
Systemic"
12 body systems,"Articular 
Circulatory
Digestive
Endocrine
Integumentary
Lymphatic
Muscular
Nervous
Reproductive
Respiratory
Skeletal
Urinary"
8 regions of the body,"Head
Neck
Thorax (chest)
Abdomen (belly)
Pelvis
Back (posterior thorax, abd, pelvis)
trunk (thorax, abd, pelvis, back)
Upper limb/extremity
Lower limb/extremity"
5 criteria for anatomical position,"1. Body longitudinal
2. Upper limbs by sides
3. Eyes directed forward
4. Palms directed forward
5. toes directed forward"
"Which plane divides the body into equal right and left halves, vertically?",Median (Midsagittal)
"Which plane divides the body into unequal right and left parts, vertically? How many of these planes can exist?",Sagittal; Infinity
Which plane divides the body into front and back parts?,Frontal (Coronal)
Which plane divides the body into upper and lower parts?,Transverse
Which plane runs parallel to the median plane?,Sagittal
Which plane runs vertical and perpendicular to the median plane?,Frontal
Which plane runs perpendicular to both the median and the frontal planes?,Transverse
Medial vs. Lateral,"Medial: nearer to midline 
Lateral: farther from midline"
Anterior vs. Posterior (secondary names and definition),"Anterior: ventral - near the front
Posterior: dorsal - near the back"
Superior vs. Inferior (secondary names and definition),"Superior: cephalad - near the head
Inferior: caudal - near the tail"
Proximal vs. Distal,"Proximal: nearer to attached end or origin
Distal: farther from attached end or origin"
Internal vs. External,"Internal: nearer to center of organ or cavity
External: farther from center or organ or cavity"
Superficial vs. Deep,"Superficial: nearer to surface of body
Deep: farther from surface of body"
Supine position,"Lying on back, belly upward"
Prone position,"Lying on front, back upward"
What is the smallest unit of living matter?,Cell
Cytology,Study of cells
Tissue,Collection of cells of similar structure and function
Histology,Study of tissues
Collection of one or more tissues that can perform a function is called an ________?,Organ
Organ system,One or more organs that act together
Body is composed of _________ organ systems?,12
Gross anatomy vs. Microanatomy,"GA is seen with unaided eye, whereas MA must be seen with a microscope"
Organization of body,Cells < Tissues < Organs < Organ Systems < Body
Which organ system functions to protect the body by purifying fluid and contains white blood cells?,Lymphatic
Which body system secretes chemicals that serve as messengers between body parts and maintains proper function of reproductive organs?,Endocrine
"The liver, gallbladder, and pancreas are part of which body system?",Digestive
Which 3 body systems are responsible for movement of the body?,"Skeletal, Muscular, and Articular"
Which body system rids the body of nitrogenous waste and helps regulate the fluid level and chemical content of the blood?,Urinary
Which body system removes waste molecules that are excreted from the body?,Circulatory
"Which body system provides support and protection for underlying tissues, helps regulate body temperature, and contains receptors?",Integumentary
How many intervertebral discs are there in the human body?,23
Articulations between vertebral bodies (i.e. discs) connect the ______ surface of the superjacent vertebral body to the _________ surface of the infrajacent vertebral body,Inferior; Superior
Intervertebral discs are classified as which type of joint?,Fibrocartilagenous
Intervertebral discs account for what percent of the entire length of the vertebral column?,25%
The superior most intervertebral disc lies between the _____ and the ________ .,Axis (C2); CV3
The inferior most intervertebral disc lies between ______ and the ________ .,LV5; Sacrum
Discs are named and numbered according to the vertebrae in which they lie ________.,Below
In which regions do intervertebral discs tend to be higher anteriorly than posteriorly?,Cervical and Lumbar
"When discs are ________ anteriorly than posteriorly, it results in secondary curvature.",Higher
Secondary curvature can also be defined as being concave __________ .,Posteriorly
In which region are the discs about the same height measured anteriorly and posteriorly?,Thoracic
