prompt,answer
"What anatomical term describes the incomplete ring of lymphoid tissue situated in the naso-oropharynx, and acts as the first line of defense against microbes entering the body?",Waldever's Ring
4 aspects of Waldever's Ring from Superior to Inferior,"1. Pharyngeal Tonsils (Behind Soft Palate)
2. Tubal Tonsils
3. Palatine Tonsils
4. Lingual Tonsils (Root of Tongue)"
_________ are lymphoepithelial structures that provide a protective immunological ring at the openings of both digestive and respiratory tracts,Tonsils
What 4 key structures are encircled by the carotid sheath?,"1. Common carotid artery
2. Internal carotid artery
3. Internal jugular vein
4. Vagus nerve (CN X)"
Carotid sheath lies _________ to the sternocleidomastoid muscle.,Posterior
What is the chief artery that supplies blood to the tonsils? What branches of this artery are involved?,"Facial artery
Tonsillar Branch
Ascending Palatine Branch"
Which 4 arteries (and their respective branches) are involved in tonsillar blood supply?,"1. Facial Artery (Tonsillar and Ascending Palatine Branch)
2. Lingual Artery (Dorsal Lingual Branch)
3. Ascending Pharyngeal Artery (Descending Palatine Branch)
4. Maxillary Artery (Greater Palatine Branch)"
The ascending pharyngeal artery is a branch of the ______________ artery.,External Carotid
Post-tonsillectomy _____________ is a surgical emergency that is characterized by tachycardia and hypotension .,Hemorrhage
How do you treat a post tonsillectomy hemorrhage?,Prompt fluid and airway management
Severe cellulitis involving the sublingual and sub-mental spaces is known as ____________ ___________. It often presents as a tooth _________ and involves airway management via ______________ intubation .,Ludwig's Angina; Abscess; Awake Fiberoptic
What are the symptoms of Ludwig's Angina?,"Tongue elevation 
Rapid breathing 
Difficulty swallowing
Glottic edema - drooling 
Leukocytosis & Fever"
A gap between the occipital condyles and the condylar surface of the atlas is known as ______________ dislocation. Often this gap is more than ________ mm wide and necessitates an ___________ extubation.,Atlanto-axial; 5; Awake
The tongue lies ________ to the hyoid bone.,Superior
The __________ muscle is the only tensor of the vocal cords. Does this muscle perform adduction or abduction?,Cricothyroid; Adduction
What is the only intrinsic muscle to lie outside of the cartilaginous framework of the larynx?,Cricothyroid
"The ___________ branch of the vagus nerve provides sensory innervation to the cricothyroid muscle, whereas the ___________ branch provides motor innervation.",Internal SLN; External SLN
Injury to which nerve will cause pitch abnormalities in vocalization?,Superior Laryngeal Nerve
Which nerve is involved in the majority of cases of vocal cord paresis and/or paralysis?,Recurrent Laryngeal Nerve
"Cranial nerve _________ innervates the larynx. The ____________ branch is responsible for sensation above the vocal cords, whereas the __________ branch innervates below.",X (Vagus); SLN; RLN
"All intrinsic muscles of the larynx receive motor innervation from the _______________ nerve, with the exception of the _____________ muscle that receives it from the external SLN.",RLN; Cricothyroid
"In unilateral SLN injury, the anterior commissure rotates ___________ the uninjured side.",Toward
"In unilateral SLN injury, the vocal cords sag during _____________ and bulge during ___________ due to vocal cord paralysis.",Inspiration; Expiration
"Endoscopy, a diagnostic tool allowing direct visualization of structures under consideration, may be used as either a _____________ (i.e. Biopsy) or _____________ (i.e. Excision) modality.",Diagnostic; Therapeutic
The priority during endoscopic procedures is to maintain adequate _________ .,Ventilation
"ETCO2 reflects the respiratory concept of ____________ , whereas SpO2 reflects __________ .",Ventilation; Oxygenation
Movement of gas into and out of the lungs is known as ____________ . This is often monitored via ___________ .,Ventilation; Capnography
"The delivery of oxygen to the blood and
tissue level of the patient is known as _____________ . This is often monitored via ____________ .",Oxygenation; Pulse Oximetry
"Esophageal _____________ is the most serious complication of endoscopy. It most commonly occurs in the _____________ region of the pharynx, and can be best prevented by ensuring adequate __________ .",Perforation; Hypopharnx; Paralysis
A Panendoscopy evaluates which structures?,"1. Airway (Pharynx & Larynx)
2. Esophagus
3. Trachea & Bronchi"
