"prompt","answer"
"T/F: there are two different types of nicotinic acetylcholine receptors at the neuromuscular junction.","True"
"The pre-junctional N_____ receptor is present on the presynaptic nerve.","n"
"The post-synaptic N____ receptor is present at the motor end plate on the muscle cell.","m"
"The Nm nicotinic receptor is comprised of ______ subunits that align circumferentially around the conducting pore.","5"
"When _____ ACh molecules simultaneously occupy the alpha receptors of the Nm receptor, the channel opens.","2"
"T/F: when the ion channels at the NMJ open, anions such as chloride pass through the nicotinic recepotr.","False; Cations (Na, Ca, K)"
"At rest, the inside of the muscle cell is ______ relative to the outside of the cell.","Negative"
"_________ is strategically positioned around pre- and post-synaptic nicotinic receptors. It hydrolyzes ACh almost immediately after it is activated.","Achetylcholinesterase (AChE)"
"In the absence of extra-junctional receptors, succinylcholine can transiently increase serum potassium ______ mEq/L for up to 10-15 minutes.","0.5-1"
"T/F: Extrajunctional receptors are much more sensitive to succinylcholine, they remain open for a longer period of time. This augments the potassium leak and may precipitate life-threatening hyperkalemia.","True"
"________ stimulation is likely a significant contributor to the hyperkalemic response caused by succinylcholine.","Choline"
"In the event of denervation injury, succinylcholine should be avoided _______ hours following the injury.","24-48"
"T/F: the risk of hyperkalemia in the burn patient peaks after 1 week and can be safely administered in 3 months.","False; Persists for several years!"
"The treatment of succinylcholine-induced hyperkalemia includes IV _______ , ______-ventilation and glucose + insulin.","Calcium; Hyper"
"There are two pathologic variants of the nicotinic receptor. The a2B1O1Y1 subtype has a _______ subunit in lieu of an epsilon subunit.","Gamma"
"There are two pathologic variants of the nicotinic receptor. The a7 subtype consists of 4 ______ subunits.","Alpha"
"Patients with up-regulation of extrajuncitonal receptors are _____ to nondepolarizers. This means that their potency is _______ .","Resistant; Reduced"
"Motor neuron injury, SCI, burns, skeletal muscle trauma, CVA, tetanus, severe sepsis and muscular dystrophy are all contraindications to the use of ___________ .","Succinylcholine"
"When an AP arrives at the nerve terminal, VG-_____ channels open and destabilizes the proteins that hold the ACh vesicles in place.","Calcium"
"ACh binding to ______ receptors causes the mobilization of ACh vesicles inside the pre-synaptic nerve.","Nn (Pre-synaptic Nicotinic)"
"Non-depolarizers ________ antagonize the presynaptic Nn receptors.","Competitively"
"T/F: Fade is displayed after the administration of succinylcholine","False; ND-NMBDs"
"Succinylcholine stimulates the pre-junctional Nn receptors and essentially has the same effect as __________ .","Acetylcholine"
"The presence or absence of ________ distinguishes between a phase I or phase II block","Fade"
"The _________ nicotinic receptor is an integral component of the fade mechanism.","Pre-synaptic"
"Phase I vs II Block: Produced by succinylcholine","I"
"Phase I vs II Block: Produced by ND-NMBDs","II"
"Phase I vs II Block: ACh mobilization mechanism is impaired, so the nerve terminal can only release the fraction of ACh that is immediately available","II"
"Phase I vs II Block: produced by agonism of the presynaptic nicotinic receptor","I"
"T/F: High-dose succinylcholine can cause a phase II block that is indistinguishable of that caused by ND-NMBDs","True"
"A succinylcholine dose > ________ mg/kg promotes the development of a phase II block","7-10"
"Continuous exposure to succinylcholine > ________ minutes promote the development of a phase II block.","30-60"
"Phase I vs II Block: response to stimulation are diminished but equal","I"
"Phase I vs II Block: response to stimulation is characterized by fade","II"
"Phase I vs II Block: NO post-tetanic potentiation","I"
"Phase I vs II Block: Post-tetanic potentiation present","II"
"As a general rule, the more central muscles are paralyzed __________ and recover _______ than peripheral muscles.","Faster; Sooner"
"Recovery from neuromuscular blockade is believed to occur when TOFR > ______","0.9"
"_______ of blockade is best measured at the orbicularis oculi muscle with the ________ nerve.","Onset; Facial"
"_______ of blockade is best measured at the adductor pollicis or felxor hallucis muscle with the ________ or posterior tibular nerve.","Recovery; Ulnar"
"T/F: The upper airway musculature (genioglossus) is sensitive to the effects of muscle relaxants. The ability to protect the airway may not fully return until TOFR >0.9.","True"
"T/F: The best qualitative test of NMBD recovery is having the patient lift their head off the pillow.","False; Tongue Blade Test"
"Name that Recovery Value: Tidal Volume (mL/kg)","5"
