"prompt","answer"
"The function of the _______ ________ is to form a protective cavity for the heat and lungs and for the organs of the _________ aspect of the abdomen.","Thoracic Cavity; Superior"
"The ________ is the flat bone located at the anterior aspect of the thorax in the midline.","Sternum"
"The _________ is the superior portion of the sternum.","Manubrium"
"How many parts does the sternum contain?","3"
"The greek term sternon means _______ , whereas the latin manus means _________ .","Breast of Man; Hand"
"The sternum is fancied to resemble a _________ , with the _______ being the part of the sword held in the hand.","Sword; Manubrium"
"A _______ _________ is found on the superior border of the manubrium of the sternum.","Jugular Notch"
"The manubrium articulates with the _________ and the first two pairs of _________ _________ .","Clavicles; Costal Cartilages"
"What type of cartilage makes up the costal cartilages between the ribs and the sternum?","Hyaline"
"The _______ is the middle portion of the sternum. It is long, narrow and thinner than the _________ .","Body; Manubrium"
"The body of the sternum articulates with the costal cartilages of ribs ______ to _______ .","2; 7"
"The _________ _________ is the junction of the manubrium and body. It is an important palpable landmark for counting ribs.","Sternal Angle"
"The ______ ________ is the smallest, most variable and inferior portion of the sternum.","Xiphoid Process;"
"The _________ _______ is a depression on. the anterior aspect of the xiphoid process. It is _________ and often visible.","Epigastric Fossa; Palpable"
"The _______ _______ is found between the xiphoid process and the body at the superior aspect of the ________ _________ .","Xiphisternal Joint; Epigastric Fossa."
"In latin, the word 'costa' means ________ .","Rib"
"The _______ pairs of flat bones making up the ribs form most of the thoracic wall.","12"
"Humans have _______ ribs on each side of the body, with variations including cervical ribs at ________ or lumbar ribs at _________ .","12; CV7; LV1"
"The elongated flattened bones of the rib course ________ and __________ from the thoracic vertebrae","Anterior; Inferior"
"The ________ of the rib articulates with the bodies of the thoracic vertebrae.","Head"
"The _______ of the rib is the constricted portion lateral. to the head.","Neck"
"The __________ of the rib is the posterior projection lateral to the neck. It articulates with the _______ _______ of its respective thoracic vertebrae.","Tubercle; Transverse Processes"
"The anterior end of the rib articulates with the __________ _________ .","Costal Cartilage"
"The _______ ________ is the ridge that lies on the inferior surface of the shaft of the rib.","Costal Groove"
"Which 3 structures (Superior to Inferior) lie within the costal groove of the rib?","1. Intercostal Vein
2. Intercostal Artery
3. Intercostal Nerve"
"The length of the rib _________ from the first to the 7th rib, and then _______ to the 12th rib.","Increases; Decreases"
"The first seven ribs (1-7) are defined as ______ _______. They are directly connected to the __________ via their costal cartilages.","True Ribs; Sternum"
"The last five ribs (8-12) are considered _________ _________ .","False Ribs"
"Each costal cartilage of ribs ______ , _____ , and _______ joins its respective suprajacent (above) costal cartilage.","8; 9; 10"
"The costal cartilages of ribs _______ and _______ end blindly in muscle with NO anterior articulation.","11; 12"
"Ribs 11 and 12 are known as _______ ______ due to their lack of ________ articulation.","Floating Ribs; Anterior"
"The costal margin is formed by the ribs of ______ to ______ which course medially and superiorly .","7; 10"
"The ________ ________ is formed by the intersection of the costal margins at the xiphisternal joint.","Infrasternal Angle"
"The _____ ______ ______ is an opening through which the great vessels and visceral tubes ascend or descend between the thorax and the neck.","Superior Thoracic Aperture"
"The superior thoracic aperture is bounded by the upper border of the ________ and by the ______ _______ .","Sternum; First Ribs"
"The _______ ________ _______ is normally closed by the diaphragm.","Inferior Thoracic Aperture"
"_______ major openings are found within the diaphragm which allow for the passage of the _______ ______ _______, ________ and _______.","3; Inferior Vena Cava; Esophagus; Aorta"
"The muscle of the thorax is arranged into _______ layers.","3"
"What makes up the external layer of the thorax musculature?","External Intercostals"
"What makes up the middle layer of the thorax musculature?","Internal Intercostals"
"What makes up the inner layer of the thorax musculature?","Innermost Intercostals"
"The external intercostal muscles originate at the _______ _______ of the rib above and insert on the upper margin of the______ _______.","Lower Margin; Rib Below"
"Which muscle acts to elevate the ribs during inspiration?","External Intercostals"
"The external intercostal muscles are innervated by the intercostal nerves of ______ to ________ and the thoracoabdominal nerves of _______ to ________ .","T1-T6; T7-T11"
"There are _______ pairs of external intercostal muscles.","11"
"From their point of origin, the. fibers of the intercostal muscles pass _________ and _______ to their point of insertion.","Medially; Inferiorly"
"In the intercostal space, the external intercostal muscles extend from the _______ of the rib posteriorly to the region of the. ________ ________ anteriorly.","Tubercle; Costochondral Junction"
"At or near the costochondral junction, the external intercostal muscles _______ and become membranous where they are referred to as the _______ _______ ______ .","Thin; External Intercostal Membrane"
"The internal intercostal muscles originate on the upper margin of the rib ________ and its costal cartilage.","Below"
"The internal intercostal muscles insert on the lower margin of the rib ________ and its costal cartilage.","Above"
"Which muscle is responsible for depression of the ribs during expiration?","Internal Intercostals"
"Similarly to the external intercostals, the internal intercostal muscles are innervated by the ________ nerves of T1-T6, and the _________ nerves of. T7-T11.","Intercostal; Thoracoabdominal"
"How many pairs of internal intercostal muscles exist?","11"
"The fibers of the internal intercostal muscles pass________ and _______ from their point of origin to their point of insertion.","Medially; Superiorly."
