"prompt","answer"
"Nitrous oxide is _______ x more soluble than nitrogen.","34"
"In a compliant airspace, nitrous oxide _________ the volume of the space.","Increases"
"The ________ of pressure change inside the space is dependent on the compliance of the space, the partial pressure of nitrous oxide and the perfusion of the surrounding tissues.","Rate"
"T/F: Nitrous oxide should be avoided in middle ear surgery.","True"
"You should avoid nitrous oxide __________ days after an SF6 bubble is placed in ocular surgery.","7-10"
"You should discontinue nitrous oxide _______ minutes before a SF6 bubble is placed in ocular surgery.","15"
"If air is used as a splint in ocular surgery, nitrous should be avoided for ________ days.","5"
"If perfluropropoane is used as a splint in ocular surgery, nitrous should be avoided for ________ days.","30"
"T/F: If silicone oil is used as a splint in ocular surgery, nitrous should be avoided for at least 7 days.","False; No contraindications"
"T/F: Nitrous oxide is not flammable, but it does support combustion, making it a risk with laparoscopy when a peritoneum is used.","True"
"The most reliable way to check the internal pressure of the ETT or LMA cuff is to attach a ________ to the pilot balloon.","Manometer"
"T/F: Palpation of the ETT pilot balloon is an accurate representation of internal pressure.","True"
"Nitrous oxide irreversibly inhibits ______ , which inhibits methionine synthetase.","B12"
"_________ ________ is the enzyme required for folate metabolism and myelin production.","Methionine Synthetase"
"T/F: The use of nitrous oxide during pregnancy may contribute to teratogenicity.","True; Should be avoided in first two trimesters"
"Potential side effects of nitrous oxide include ________ anemia, neuropathy, immunocompromise or impairment of DNA synthesis.","Megaloblastic"
"______ should be avoided in patients with pre-existing B12 deficiency, pernicious anemia, alcoholism, and strict vegan diet.","Nitrous Oxide"
"_________ should be avoided with pulmonary blebs, air emboli, eye surgery, middle ear surgery, SBO, and pneumoperitoneum.","Nitrous Oxide"
"_______ equilibrium of nitrous oxide occurs between space and blood in the bowel and the pneumoperitoneum.","Slow"
"__________ equilibrium of nitrous oxide occurs between space and blood in the middle ear and the brain during intracranial procedures.","Fast"
"_______ is the concentration of IHA that prevents the nociceptive withdrawal reflex following a supramaximal painful stimulus in 50% of the population.","MAC"
"MAC is a measure of _______ and is akin to the ED50.","Potency"
"MAC of Isoflurane is ________ % .","1.2"
"MAC of Sevoflurane is _________ % .","2.0"
